,,,,,,,,Total,Total,Total,Total,Total,Cortos,Cortos,Cortos,Medios,Medios,Medios,Largos,Largos,Largos,,,,,,,,,,,-additional
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos,-9999
46,Gavin Bazunu,ie IRL,PO,Southampton,21-079,2002,32.0,718,1178,61.0,21528,16289,183,185,98.9,256,263,97.3,278,722,38.5,0,0.1,0.1,-0.1,1,42,1,0,1,Partidos,c91441dc
47,Mads Bech Sørensen,dk DEN,DFCC,Brentford,24-123,1999,0.2,7,11,63.6,142,49,3,3,100.0,3,4,75.0,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,1,Partidos,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-028,1996,15.6,646,778,83.0,11984,4841,253,295,85.8,322,354,91.0,64,107,59.8,0,0.1,0.2,-0.1,3,31,1,0,45,Partidos,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-028,1996,1.1,60,66,90.9,1249,418,16,17,94.1,33,35,94.3,10,12,83.3,0,0.0,0.0,0.0,0,4,0,0,5,Partidos,4115ce4e
50,Donny van de Beek,nl NED,CC,Manchester Utd,26-022,1997,1.9,46,61,75.4,502,115,31,34,91.2,8,8,100.0,1,2,50.0,0,0.1,0.1,-0.1,3,0,4,0,6,Partidos,50dc94ce
51,Asmir Begović,ba BIH,PO,Everton,35-324,1987,1.0,21,30,70.0,584,423,3,3,100.0,10,10,100.0,8,17,47.1,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-150,2001,20.9,749,937,79.9,13980,4521,290,325,89.2,384,424,90.6,67,159,42.1,2,1.0,0.5,+1.0,6,32,4,0,39,Partidos,a39d11bc
53,Saïd Benrahma,dz ALG,DLCC,West Ham,27-273,1995,22.0,560,745,75.2,7620,2019,352,400,88.0,163,223,73.1,23,59,39.0,3,4.4,3.2,-1.4,46,30,21,11,79,Partidos,5a04fd92
54,Rodrigo Bentancur,uy URU,CC,Tottenham,25-319,1997,16.7,738,880,83.9,11482,3178,368,413,89.1,301,336,89.6,39,70,55.7,2,0.8,0.7,+1.2,11,54,9,4,76,Partidos,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-145,2002,9.9,327,496,65.9,5252,2353,176,209,84.2,124,191,64.9,24,67,35.8,1,0.8,0.6,+0.2,7,29,4,3,31,Partidos,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-196,2003,0.1,2,3,66.7,38,7,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-040,2000,0.2,15,21,71.4,253,126,6,7,85.7,8,10,80.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,de40e38c
58,Philip Billing,dk DEN,CCDL,Bournemouth,26-333,1996,29.1,746,974,76.6,10778,2924,423,502,84.3,237,294,80.6,39,83,47.0,1,3.1,2.5,-2.1,24,46,8,3,76,Partidos,d328a254
59,Yves Bissouma,ml MLI,CC,Tottenham,26-253,1996,9.0,514,571,90.0,7843,1774,266,281,94.7,208,225,92.4,25,33,75.8,0,0.5,0.3,-0.5,8,40,4,1,45,Partidos,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-096,1991,6.7,183,243,75.3,3472,1595,60,73,82.2,101,119,84.9,18,43,41.9,1,0.2,0.3,+0.8,1,8,0,0,11,Partidos,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-118,2000,30.7,1345,1567,85.8,27248,9946,422,480,87.9,748,817,91.6,161,237,67.9,0,1.0,1.1,-1.0,8,53,3,1,76,Partidos,ccce7025
62,Jarrod Bowen,eng ENG,DLCC,West Ham,26-141,1996,34.6,519,834,62.2,8178,2397,297,367,80.9,158,211,74.9,48,155,31.0,4,6.4,5.2,-2.4,43,38,23,8,69,Partidos,79c84d1c
